SN,ON_HOURS,NUM_OF_POWER_ONS,EXPECTED_MOTOR_ROTATIONS,SUPPOSED_MOTOR_ROTATIONS,ACTIVE_MILLING_HOURS,LCS_MAX,DAYS OFFLINE,DAYS SINCE VISIT,DAYS OFFLINE (LIVE),CATEGORY
18040215.0,6.96,1.0,0.0,0.0,0.0,15.0,185.0,525.0,194.0,Nontechnical
21050719.0,6.22,1.0,6.0,6.0,0.18,15.0,79.0,100.0,5.0,Nontechnical
21050653.0,6.74,1.0,996.0,997.0,5.12,15.0,43.0,43.0,52.0,Technical
21110979.0,1.61,1.0,94.0,90.0,0.55,15.0,51.0,11.0,0.0,Technical
21050651.0,0.43,1.0,92.0,92.0,0.33,15.0,48.0,122.0,6.0,Nontechnical
18040296.0,8.05,1.0,0.0,0.0,0.0,15.0,158.0,206.0,167.0,Technical
18040296.0,2.18,1.0,96.0,96.0,1.56,15.0,31.0,32.0,2.0,Nontechnical
19060551.0,2.65,1.0,81.0,86.0,0.85,15.0,285.0,41.0,0.0,Nontechnical
17010091.0,12.94,1.0,1.0,1.0,0.01,15.0,84.0,11.0,93.0,Nontechnical
17020148.0,9.96,1.0,2.0,2.0,0.04,15.0,177.0,524.0,0.0,Nontechnical
19060347.0,7.53,1.0,6.0,6.0,0.22,15.0,243.0,294.0,252.0,Nontechnical
21050851.0,9.95,1.0,351.0,351.0,0.24,15.0,62.0,423.0,10.0,Technical
19060447.0,3.1,1.0,845.0,844.0,1.7,15.0,50.0,9.0,0.0,Nontechnical
18040282.0,5.55,1.0,1172.0,1674.0,4.54,15.0,150.0,152.0,14.0,Technical
18040304.0,6.14,1.0,933.0,941.0,6.34,15.0,46.0,46.0,55.0,Nontechnical
21050601.0,4.34,1.0,949.0,949.0,4.0,15.0,32.0,135.0,0.0,Technical
17020141.0,9.99,1.0,0.0,0.0,0.0,15.0,177.0,524.0,0.0,Nontechnical
19060347.0,4.77,1.0,2256.0,2262.0,2.03,15.0,243.0,294.0,252.0,Nontechnical
21050719.0,2.64,1.0,995.0,995.0,2.29,15.0,124.0,5.0,1.0,Technical
18040234.0,0.33,1.0,94.0,93.0,0.33,15.0,91.0,95.0,100.0,Nontechnical
21050719.0,7.11,1.0,1.0,913.0,5.48,15.0,272.0,73.0,281.0,Nontechnical
19060306.0,7.25,1.0,977.0,977.0,4.66,15.0,150.0,152.0,14.0,Technical
21110993.0,9.98,1.0,82.0,85.0,0.5,15.0,62.0,87.0,0.0,Technical
18040255.0,10.17,1.0,924.0,924.0,7.29,15.0,55.0,283.0,8.0,Technical
18040245.0,3.38,1.0,50.0,53.0,2.24,15.0,45.0,307.0,1.0,Technical
21110893.0,9.91,1.0,909.0,908.0,4.65,15.0,65.0,65.0,36.0,Technical
18040178.0,9.97,1.0,5.0,9.0,0.1,15.0,177.0,524.0,0.0,Nontechnical
21050697.0,0.94,1.0,3.0,3.0,0.06,15.0,83.0,83.0,92.0,Nontechnical
18040245.0,8.5,1.0,7.0,7.0,0.03,15.0,158.0,206.0,167.0,Technical
19060390.0,3.42,1.0,4085.0,4085.0,3.38,15.0,187.0,84.0,196.0,Nontechnical
21050615.0,9.94,1.0,0.0,0.0,0.0,15.0,75.0,76.0,84.0,Nontechnical
21050823.0,0.26,1.0,0.0,99.0,0.23,15.0,70.0,41.0,5.0,Technical
18040234.0,2.58,1.0,98.0,74.0,1.53,15.0,91.0,95.0,100.0,Nontechnical
18040215.0,9.95,1.0,0.0,0.0,0.0,15.0,154.0,74.0,163.0,Nontechnical
21110979.0,5.74,1.0,2.0,2.0,0.02,15.0,51.0,11.0,0.0,Technical
21050610.0,9.93,1.0,0.0,0.0,0.02,15.0,75.0,76.0,84.0,Nontechnical
21050776.0,2.16,1.0,993.0,993.0,2.08,15.0,264.0,14.0,273.0,Technical
21110979.0,1.1,1.0,415.0,826.0,0.82,15.0,51.0,11.0,0.0,Technical
19060557.0,9.89,1.0,96.0,49.0,1.16,15.0,220.0,4.0,14.0,Technical
19060416.0,9.95,1.0,0.0,3.0,0.01,15.0,31.0,34.0,0.0,Technical
21050822.0,3.83,1.0,938.0,938.0,3.59,15.0,70.0,41.0,5.0,Technical
19060385.0,0.36,1.0,1.0,1.0,0.0,15.0,58.0,59.0,41.0,Technical
21110979.0,0.33,1.0,0.0,0.0,0.0,15.0,37.0,3.0,0.0,Technical
21050625.0,9.97,1.0,0.0,0.0,0.0,15.0,32.0,33.0,0.0,Technical
18040193.0,2.43,1.0,933.0,934.0,2.27,15.0,53.0,320.0,272.0,Technical
21110979.0,9.51,1.0,972.0,942.0,2.98,15.0,51.0,11.0,0.0,Technical
18040245.0,9.96,1.0,983.0,983.0,3.65,15.0,158.0,206.0,167.0,Technical
21050855.0,1.62,1.0,955.0,955.0,1.52,15.0,51.0,74.0,0.0,Technical
21050719.0,9.5,1.0,987.0,999.0,6.45,15.0,81.0,81.0,90.0,Nontechnical
19060419.0,1.71,1.0,974.0,1063.0,1.03,15.0,33.0,14.0,42.0,Technical
18040178.0,5.18,1.0,21.0,21.0,1.2,15.0,73.0,74.0,82.0,Nontechnical
18040195.0,1.01,1.0,3.0,36.0,0.04,15.0,31.0,40.0,40.0,Nontechnical
18040296.0,0.3,1.0,151.0,160.0,0.13,15.0,158.0,206.0,167.0,Technical
21110967.0,8.06,1.0,8.0,7.0,0.99,15.0,34.0,34.0,15.0,Technical
15020035.0,9.95,1.0,0.0,0.0,0.0,0.0,167.0,234.0,176.0,Nontechnical
21110979.0,0.65,1.0,5.0,9.0,0.24,15.0,51.0,11.0,0.0,Technical
19060563.0,0.34,1.0,11.0,11.0,0.01,15.0,298.0,75.0,307.0,Nontechnical
18040269.0,4.15,1.0,1575.0,1576.0,2.48,15.0,55.0,283.0,8.0,Technical
18040296.0,13.98,1.0,4765.0,4765.0,4.66,15.0,158.0,206.0,167.0,Technical
21111023.0,0.87,1.0,95.0,95.0,0.48,15.0,37.0,3.0,0.0,Technical
17020151.0,9.97,1.0,2.0,2.0,0.07,15.0,177.0,524.0,0.0,Nontechnical
18040234.0,9.39,1.0,3873.0,3873.0,3.8,15.0,91.0,95.0,100.0,Nontechnical
21050601.0,3.8,1.0,1170.0,1169.0,1.63,15.0,60.0,61.0,1.0,Technical
19060551.0,1.27,1.0,935.0,936.0,1.15,15.0,42.0,67.0,51.0,Nontechnical
19060571.0,0.3,1.0,69.0,69.0,0.13,15.0,108.0,109.0,117.0,Nontechnical
21050601.0,9.38,1.0,926.0,926.0,7.71,15.0,32.0,135.0,0.0,Technical
21050653.0,9.99,1.0,4.0,4.0,0.14,15.0,43.0,43.0,52.0,Technical
17020148.0,9.95,1.0,0.0,0.0,0.0,15.0,177.0,524.0,0.0,Nontechnical
19060557.0,6.66,1.0,0.0,0.0,0.0,15.0,275.0,205.0,284.0,Nontechnical
21111040.0,0.84,1.0,256.0,256.0,0.27,15.0,37.0,3.0,0.0,Technical
18040296.0,5.85,1.0,44.0,44.0,0.74,15.0,118.0,328.0,127.0,Nontechnical
19060322.0,1.46,1.0,99.0,99.0,0.26,15.0,43.0,76.0,52.0,Nontechnical
19060306.0,0.17,1.0,7.0,17.0,0.01,15.0,150.0,152.0,14.0,Technical
21050719.0,3.57,1.0,1284.0,1287.0,1.68,15.0,81.0,81.0,90.0,Nontechnical
21110874.0,3.47,1.0,1726.0,1740.0,0.96,15.0,304.0,67.0,1.0,Technical
19060551.0,3.53,1.0,993.0,993.0,3.0,15.0,36.0,72.0,3.0,Nontechnical
19060551.0,4.4,1.0,976.0,977.0,4.04,15.0,36.0,72.0,3.0,Nontechnical
19060395.0,3.62,1.0,3128.0,3129.0,2.81,15.0,31.0,34.0,0.0,Technical
19060326.0,3.1,1.0,74.0,686.0,2.64,15.0,59.0,24.0,68.0,Nontechnical
19060324.0,9.97,1.0,4.0,4.0,0.01,15.0,43.0,76.0,52.0,Nontechnical
21050719.0,9.91,1.0,2.0,2.0,0.06,15.0,71.0,76.0,80.0,Nontechnical
21111028.0,1.79,1.0,77.0,77.0,0.55,15.0,68.0,240.0,1.0,Technical
19060328.0,3.39,1.0,879.0,886.0,2.8,15.0,59.0,24.0,68.0,Nontechnical
21110979.0,0.34,1.0,5.0,72.0,0.12,15.0,51.0,11.0,0.0,Technical
18040304.0,2.93,1.0,988.0,988.0,7.22,15.0,46.0,46.0,55.0,Nontechnical
21110979.0,2.11,1.0,357.0,370.0,0.53,15.0,51.0,11.0,0.0,Technical
19060307.0,1.57,1.0,73.0,73.0,0.6,15.0,61.0,81.0,70.0,Nontechnical
18040174.0,8.74,1.0,8.0,8.0,0.34,15.0,177.0,524.0,0.0,Nontechnical
21050719.0,6.13,1.0,952.0,952.0,5.93,15.0,81.0,81.0,90.0,Nontechnical
19060551.0,3.88,1.0,952.0,952.0,3.15,15.0,140.0,41.0,149.0,Nontechnical
19060395.0,1.93,1.0,803.0,803.0,1.82,15.0,31.0,34.0,0.0,Technical
18040255.0,4.2,1.0,975.0,975.0,0.72,15.0,45.0,307.0,1.0,Technical
21110989.0,7.42,1.0,98.0,94.0,0.45,15.0,62.0,87.0,0.0,Technical
21050703.0,1.57,1.0,81.0,81.0,0.26,15.0,83.0,83.0,92.0,Nontechnical
21110993.0,9.58,1.0,89.0,91.0,1.22,15.0,62.0,87.0,0.0,Technical
18040273.0,8.5,1.0,7.0,7.0,0.03,15.0,158.0,206.0,167.0,Technical
21111069.0,3.5,1.0,916.0,916.0,2.24,15.0,60.0,320.0,40.0,Technical
21110874.0,7.7,1.0,0.0,0.0,0.0,15.0,304.0,67.0,1.0,Technical
21110893.0,0.87,1.0,373.0,412.0,0.51,15.0,39.0,61.0,60.0,Technical
18040301.0,9.78,1.0,1934.0,1933.0,3.21,15.0,150.0,152.0,14.0,Technical
19060551.0,2.34,1.0,986.0,988.0,1.3,15.0,45.0,74.0,54.0,Nontechnical
19060326.0,0.51,1.0,78.0,77.0,0.26,15.0,59.0,24.0,68.0,Nontechnical
19060326.0,0.07,1.0,0.0,0.0,0.0,15.0,32.0,166.0,0.0,Nontechnical
21050601.0,2.15,1.0,1134.0,1131.0,1.58,15.0,60.0,61.0,1.0,Technical
21050719.0,9.3,1.0,57.0,57.0,0.09,15.0,52.0,93.0,1.0,Nontechnical
21110903.0,0.63,1.0,218.0,218.0,0.34,15.0,39.0,61.0,60.0,Technical
19060345.0,6.52,1.0,97.0,910.0,4.74,15.0,243.0,294.0,252.0,Nontechnical
19060395.0,0.24,1.0,3.0,3.0,0.01,15.0,31.0,34.0,0.0,Technical
19060416.0,0.35,1.0,95.0,95.0,0.11,15.0,119.0,153.0,12.0,Technical
19060363.0,9.93,1.0,3013.0,3059.0,5.5,15.0,107.0,49.0,35.0,Technical
21110977.0,1.54,1.0,0.0,0.0,0.0,15.0,34.0,34.0,15.0,Technical
19060416.0,2.65,1.0,97.0,97.0,1.03,15.0,31.0,31.0,0.0,Nontechnical
19060345.0,9.91,1.0,977.0,983.0,4.78,15.0,243.0,294.0,252.0,Nontechnical
18040178.0,9.92,1.0,906.0,907.0,5.79,15.0,546.0,524.0,555.0,Nontechnical
19060349.0,0.24,1.0,0.0,0.0,0.0,15.0,67.0,68.0,76.0,Nontechnical
15020013.0,0.54,1.0,37.0,37.0,0.47,15.0,37.0,94.0,46.0,Nontechnical
21050858.0,4.63,1.0,996.0,996.0,1.8,15.0,147.0,364.0,7.0,Technical
18040271.0,6.1,1.0,33.0,37.0,0.27,15.0,31.0,148.0,15.0,Technical
21050599.0,2.34,1.0,92.0,59.0,2.22,15.0,75.0,76.0,84.0,Nontechnical
19060447.0,7.73,1.0,2761.0,2759.0,5.39,15.0,50.0,9.0,0.0,Nontechnical
21050653.0,1.48,1.0,91.0,91.0,1.31,15.0,43.0,43.0,52.0,Technical
21050855.0,2.13,1.0,935.0,935.0,1.57,15.0,51.0,74.0,0.0,Technical
19060415.0,3.88,1.0,0.0,0.0,0.0,15.0,31.0,31.0,0.0,Nontechnical
21050582.0,2.58,1.0,914.0,914.0,2.51,15.0,51.0,69.0,15.0,Technical
21050856.0,3.08,1.0,511.0,512.0,2.88,15.0,51.0,74.0,0.0,Technical
21050716.0,0.33,1.0,6.0,6.0,0.02,15.0,83.0,83.0,92.0,Nontechnical
19060328.0,2.17,1.0,73.0,81.0,2.08,15.0,59.0,24.0,68.0,Nontechnical
18040233.0,9.92,1.0,937.0,936.0,7.38,15.0,91.0,95.0,100.0,Nontechnical
19060447.0,0.33,1.0,18.0,18.0,0.05,15.0,49.0,5.0,58.0,Nontechnical
18040269.0,3.28,1.0,983.0,983.0,2.97,15.0,55.0,283.0,8.0,Technical
18040304.0,2.33,1.0,7.0,7.0,0.06,15.0,35.0,89.0,44.0,Nontechnical
21110979.0,0.82,1.0,291.0,291.0,0.39,15.0,37.0,3.0,0.0,Technical
18040304.0,7.16,1.0,952.0,9950.0,9.62,15.0,46.0,46.0,55.0,Nontechnical
21110979.0,2.56,1.0,91.0,927.0,1.0,15.0,51.0,11.0,0.0,Technical
18040301.0,10.81,1.0,96.0,99.0,0.85,15.0,46.0,46.0,55.0,Nontechnical
18040304.0,0.59,1.0,3.0,3.0,0.0,15.0,35.0,89.0,44.0,Nontechnical
21111040.0,6.07,1.0,36.0,36.0,1.43,9.0,37.0,3.0,0.0,Technical
18040178.0,9.93,1.0,0.0,0.0,0.0,15.0,95.0,95.0,104.0,Nontechnical
19060428.0,7.12,1.0,72.0,72.0,1.02,15.0,43.0,65.0,2.0,Technical
18040296.0,17.27,1.0,950.0,950.0,7.37,15.0,158.0,206.0,167.0,Technical
19060345.0,9.93,1.0,943.0,942.0,4.67,15.0,63.0,83.0,72.0,Nontechnical
21111040.0,8.5,1.0,966.0,965.0,3.53,15.0,37.0,3.0,0.0,Technical
18040178.0,9.94,1.0,932.0,933.0,8.05,15.0,546.0,524.0,555.0,Nontechnical
18040190.0,6.84,1.0,990.0,989.0,6.36,15.0,31.0,40.0,40.0,Nontechnical
21110961.0,4.02,1.0,287.0,287.0,0.3,15.0,34.0,34.0,15.0,Technical
19060551.0,1.21,1.0,50.0,50.0,1.03,15.0,42.0,67.0,51.0,Nontechnical
21111040.0,2.89,1.0,870.0,870.0,2.6,15.0,37.0,3.0,0.0,Technical
18040215.0,0.07,1.0,0.0,0.0,0.0,15.0,297.0,506.0,306.0,Nontechnical
19060416.0,4.8,1.0,936.0,936.0,2.22,15.0,31.0,31.0,0.0,Nontechnical
21050719.0,3.81,1.0,917.0,918.0,3.54,15.0,81.0,81.0,90.0,Nontechnical
21111007.0,6.22,1.0,775.0,777.0,5.71,15.0,68.0,240.0,1.0,Technical
18040301.0,9.97,1.0,965.0,965.0,5.71,15.0,150.0,152.0,14.0,Technical
21111007.0,3.32,1.0,983.0,983.0,3.2,15.0,68.0,240.0,1.0,Technical
15020013.0,4.72,1.0,39.0,39.0,3.64,15.0,37.0,94.0,46.0,Nontechnical
21050851.0,1.28,1.0,0.0,0.0,0.0,11.0,62.0,423.0,10.0,Technical
18040177.0,8.84,1.0,53.0,53.0,1.5,15.0,31.0,148.0,15.0,Technical
21110963.0,9.94,1.0,449.0,450.0,0.91,15.0,34.0,34.0,15.0,Technical
19060306.0,0.94,1.0,272.0,272.0,0.19,15.0,150.0,152.0,14.0,Technical
18040245.0,7.61,1.0,380.0,380.0,0.26,15.0,45.0,307.0,1.0,Technical
18040271.0,13.98,1.0,1222.0,1224.0,1.53,15.0,31.0,148.0,15.0,Technical
18040277.0,9.98,1.0,0.0,0.0,0.0,15.0,158.0,206.0,167.0,Technical
21110860.0,0.33,1.0,67.0,67.0,0.12,15.0,147.0,364.0,7.0,Technical
21111023.0,0.5,1.0,240.0,240.0,0.48,13.0,37.0,3.0,0.0,Technical
21111069.0,3.85,1.0,98.0,98.0,3.69,15.0,60.0,320.0,40.0,Technical
19060554.0,4.94,1.0,974.0,976.0,4.59,15.0,220.0,4.0,14.0,Technical
18040301.0,9.94,1.0,985.0,925.0,6.55,15.0,46.0,46.0,55.0,Nontechnical
18040245.0,2.3,1.0,82.0,82.0,0.46,15.0,45.0,307.0,1.0,Technical
19060317.0,8.96,1.0,5.0,5.0,0.63,14.0,43.0,76.0,52.0,Nontechnical
18040245.0,9.89,1.0,0.0,0.0,0.0,15.0,47.0,544.0,56.0,Nontechnical
19060551.0,1.35,1.0,873.0,873.0,1.19,15.0,42.0,67.0,51.0,Nontechnical
21050584.0,3.27,1.0,82.0,76.0,0.97,15.0,51.0,69.0,15.0,Technical
21111028.0,2.25,1.0,832.0,832.0,1.9,15.0,68.0,240.0,1.0,Technical
21050851.0,1.02,1.0,0.0,0.0,0.0,11.0,62.0,423.0,10.0,Technical
21050719.0,9.93,1.0,4.0,4.0,0.15,15.0,79.0,100.0,5.0,Nontechnical
19060357.0,1.06,1.0,988.0,988.0,0.7,15.0,107.0,49.0,35.0,Technical
21050697.0,2.78,1.0,589.0,589.0,1.06,15.0,83.0,83.0,92.0,Nontechnical
18040304.0,8.34,1.0,3602.0,3614.0,4.13,15.0,46.0,46.0,55.0,Nontechnical
21110979.0,2.66,1.0,92.0,92.0,1.25,15.0,51.0,11.0,0.0,Technical
18040245.0,4.08,1.0,923.0,923.0,1.36,15.0,45.0,307.0,1.0,Technical
