,SN,ON_HOURS,NUM_OF_POWER_ONS,EXPECTED_MOTOR_ROTATIONS,SUPPOSED_MOTOR_ROTATIONS,ACTIVE_MILLING_HOURS,DAYS OFFLINE,DAYS SINCE VISIT,CATEGORY
117,21110967,8.06,1.0,8.0,7.0,0.99,34.0,34.0,Technical
118,15020035,9.95,1.0,0.0,0.0,0.0,167.0,234.0,Nontechnical
119,21110979,0.65,1.0,5.0,9.0,0.24,51.0,11.0,Technical
120,19060563,0.34,1.0,11.0,11.0,0.01,298.0,75.0,Nontechnical
121,18040269,4.15,1.0,1575.0,1576.0,2.48,55.0,283.0,Technical
122,18040296,13.98,1.0,4765.0,4765.0,4.66,158.0,206.0,Technical
123,21111023,0.87,1.0,95.0,95.0,0.48,37.0,3.0,Technical
124,17020151,9.97,1.0,2.0,2.0,0.07,177.0,524.0,Nontechnical
125,18040234,9.39,1.0,3873.0,3873.0,3.8,91.0,95.0,Nontechnical
126,21050601,3.8,1.0,1170.0,1169.0,1.63,60.0,61.0,Technical
127,19060551,1.27,1.0,935.0,936.0,1.15,42.0,67.0,Nontechnical
128,19060571,0.3,1.0,69.0,69.0,0.13,108.0,109.0,Nontechnical
129,21050601,9.38,1.0,926.0,926.0,7.71,32.0,135.0,Technical
130,21050653,9.99,1.0,4.0,4.0,0.14,43.0,43.0,Technical
131,17020148,9.95,1.0,0.0,0.0,0.0,177.0,524.0,Nontechnical
132,19060557,6.66,1.0,0.0,0.0,0.0,275.0,205.0,Nontechnical
133,21111040,0.84,1.0,256.0,256.0,0.27,37.0,3.0,Technical
134,18040296,5.85,1.0,44.0,44.0,0.74,118.0,328.0,Nontechnical
135,19060322,1.46,1.0,99.0,99.0,0.26,43.0,76.0,Nontechnical
136,19060306,0.17,1.0,7.0,17.0,0.01,150.0,152.0,Technical
137,21050719,3.57,1.0,1284.0,1287.0,1.68,81.0,81.0,Nontechnical
138,21110874,3.47,1.0,1726.0,1740.0,0.96,304.0,67.0,Technical
139,19060551,3.53,1.0,993.0,993.0,3.0,36.0,72.0,Nontechnical
140,19060551,4.4,1.0,976.0,977.0,4.04,36.0,72.0,Nontechnical
141,19060395,3.62,1.0,3128.0,3129.0,2.81,31.0,34.0,Technical
142,19060326,3.1,1.0,74.0,686.0,2.64,59.0,24.0,Nontechnical
143,19060324,9.97,1.0,4.0,4.0,0.01,43.0,76.0,Nontechnical
144,21050719,9.91,1.0,2.0,2.0,0.06,71.0,76.0,Nontechnical
145,21111028,1.79,1.0,77.0,77.0,0.55,68.0,240.0,Technical
146,19060328,3.39,1.0,879.0,886.0,2.8,59.0,24.0,Nontechnical
147,21110979,0.34,1.0,5.0,72.0,0.12,51.0,11.0,Technical
148,18040304,2.93,1.0,988.0,988.0,7.22,46.0,46.0,Nontechnical
149,21110979,2.11,1.0,357.0,370.0,0.53,51.0,11.0,Technical
150,19060307,1.57,1.0,73.0,73.0,0.6,61.0,81.0,Nontechnical
151,18040174,8.74,1.0,8.0,8.0,0.34,177.0,524.0,Nontechnical
152,21050719,6.13,1.0,952.0,952.0,5.93,81.0,81.0,Nontechnical
153,19060551,3.88,1.0,952.0,952.0,3.15,140.0,41.0,Nontechnical
154,19060395,1.93,1.0,803.0,803.0,1.82,31.0,34.0,Technical
155,18040255,4.2,1.0,975.0,975.0,0.72,45.0,307.0,Technical
156,21110989,7.42,1.0,98.0,94.0,0.45,62.0,87.0,Technical
157,21050703,1.57,1.0,81.0,81.0,0.26,83.0,83.0,Nontechnical
158,21110993,9.58,1.0,89.0,91.0,1.22,62.0,87.0,Technical
159,18040273,8.5,1.0,7.0,7.0,0.03,158.0,206.0,Technical
160,21111069,3.5,1.0,916.0,916.0,2.24,60.0,320.0,Technical
161,21110874,7.7,1.0,0.0,0.0,0.0,304.0,67.0,Technical
162,21110893,0.87,1.0,373.0,412.0,0.51,39.0,61.0,Technical
163,18040301,9.78,1.0,1934.0,1933.0,3.21,150.0,152.0,Technical
164,19060551,2.34,1.0,986.0,988.0,1.3,45.0,74.0,Nontechnical
165,19060326,0.51,1.0,78.0,77.0,0.26,59.0,24.0,Nontechnical
166,19060326,0.07,1.0,0.0,0.0,0.0,32.0,166.0,Nontechnical
167,21050601,2.15,1.0,1134.0,1131.0,1.58,60.0,61.0,Technical
168,21050719,9.3,1.0,57.0,57.0,0.09,52.0,93.0,Nontechnical
169,21110903,0.63,1.0,218.0,218.0,0.34,39.0,61.0,Technical
170,19060345,6.52,1.0,97.0,910.0,4.74,243.0,294.0,Nontechnical
171,19060395,0.24,1.0,3.0,3.0,0.01,31.0,34.0,Technical
172,19060416,0.35,1.0,95.0,95.0,0.11,119.0,153.0,Technical
173,19060363,9.93,1.0,3013.0,3059.0,5.5,107.0,49.0,Technical
174,21110977,1.54,1.0,0.0,0.0,0.0,34.0,34.0,Technical
175,19060416,2.65,1.0,97.0,97.0,1.03,31.0,31.0,Nontechnical
176,19060345,9.91,1.0,977.0,983.0,4.78,243.0,294.0,Nontechnical
177,18040178,9.92,1.0,906.0,907.0,5.79,546.0,524.0,Nontechnical
178,19060349,0.24,1.0,0.0,0.0,0.0,67.0,68.0,Nontechnical
179,15020013,0.54,1.0,37.0,37.0,0.47,37.0,94.0,Nontechnical
180,21050858,4.63,1.0,996.0,996.0,1.8,147.0,364.0,Technical
181,18040271,6.1,1.0,33.0,37.0,0.27,31.0,148.0,Technical
182,21050599,2.34,1.0,92.0,59.0,2.22,75.0,76.0,Nontechnical
183,19060447,7.73,1.0,2761.0,2759.0,5.39,50.0,9.0,Nontechnical
184,21050653,1.48,1.0,91.0,91.0,1.31,43.0,43.0,Technical
185,21050855,2.13,1.0,935.0,935.0,1.57,51.0,74.0,Technical
186,19060415,3.88,1.0,0.0,0.0,0.0,31.0,31.0,Nontechnical
187,21050582,2.58,1.0,914.0,914.0,2.51,51.0,69.0,Technical
188,21050856,3.08,1.0,511.0,512.0,2.88,51.0,74.0,Technical
189,21050716,0.33,1.0,6.0,6.0,0.02,83.0,83.0,Nontechnical
190,19060328,2.17,1.0,73.0,81.0,2.08,59.0,24.0,Nontechnical
191,18040233,9.92,1.0,937.0,936.0,7.38,91.0,95.0,Nontechnical
192,19060447,0.33,1.0,18.0,18.0,0.05,49.0,5.0,Nontechnical
193,18040269,3.28,1.0,983.0,983.0,2.97,55.0,283.0,Technical
194,18040304,2.33,1.0,7.0,7.0,0.06,35.0,89.0,Nontechnical
195,21110979,0.82,1.0,291.0,291.0,0.39,37.0,3.0,Technical
196,18040304,7.16,1.0,952.0,9950.0,9.62,46.0,46.0,Nontechnical
197,21110979,2.56,1.0,91.0,927.0,1.0,51.0,11.0,Technical
198,18040301,10.81,1.0,96.0,99.0,0.85,46.0,46.0,Nontechnical
199,18040304,0.59,1.0,3.0,3.0,0.0,35.0,89.0,Nontechnical
200,21111040,6.07,1.0,36.0,36.0,1.43,37.0,3.0,Technical
201,18040178,9.93,1.0,0.0,0.0,0.0,95.0,95.0,Nontechnical
